feature_0,feature_1,feature_2,feature_3,feature_4,feature_5,feature_6,feature_7,feature_8,feature_9,target
0.374540119,0.950714306,0.731993942,0.598658484,0.15601864,0.15599452,0.058083612,0.866176146,0.601115012,0.708072578,0
0.020584494,0.969909852,0.832442641,0.212339111,0.181824967,0.18340451,0.304242243,0.524756432,0.431945019,0.29122914,1
0.611852895,0.139493861,0.292144649,0.366361843,0.456069984,0.785175961,0.199673782,0.514234438,0.592414569,0.046450413,1
0.607544852,0.170524124,0.065051593,0.948885537,0.965632033,0.808397348,0.304613769,0.097672114,0.684233027,0.440152494,1
0.122038235,0.49517691,0.034388521,0.909320402,0.258779982,0.662522284,0.311711076,0.520068021,0.546710279,0.184854456,1
0.969584628,0.775132823,0.939498942,0.89482735,0.597899979,0.921874235,0.088492502,0.195982862,0.045227289,0.325330331,0
0.38867729,0.271349032,0.828737509,0.356753327,0.28093451,0.542696083,0.140924225,0.802196981,0.074550644,0.986886937,1
0.772244769,0.198715682,0.005522117,0.815461428,0.706857344,0.729007168,0.771270347,0.074044652,0.358465729,0.11586906,0
0.863103426,0.623298127,0.330898025,0.06355835,0.310982322,0.325183322,0.729606178,0.637557471,0.887212743,0.472214925,0
0.119594246,0.713244787,0.760785049,0.561277198,0.77096718,0.493795596,0.522732829,0.427541018,0.025419127,0.107891427,0
0.031429186,0.636410411,0.314355981,0.508570691,0.907566474,0.249292229,0.410382923,0.755551139,0.228798165,0.07697991,0
0.289751453,0.161221287,0.929697652,0.80812038,0.633403757,0.87146059,0.803672077,0.186570059,0.892558998,0.539342242,0
0.807440155,0.8960913,0.318003475,0.110051925,0.227935163,0.427107789,0.818014766,0.860730583,0.006952131,0.510747303,1
0.417411003,0.22210781,0.119865367,0.337615171,0.942909704,0.323202932,0.518790622,0.703018959,0.363629602,0.971782083,1
0.962447295,0.251782296,0.497248506,0.30087831,0.284840494,0.036886947,0.609564334,0.502679023,0.051478751,0.278646464,1
0.908265886,0.239561891,0.144894872,0.48945276,0.985650454,0.242055272,0.672135547,0.761619615,0.237637544,0.728216349,1
0.367783133,0.632305831,0.633529711,0.535774684,0.09028977,0.835302496,0.320780065,0.18651851,0.040775142,0.590892943,0
0.677564362,0.016587829,0.512093058,0.226495775,0.64517279,0.174366429,0.690937738,0.386735346,0.936729989,0.137520944,1
0.341066351,0.113473521,0.924693618,0.877339353,0.257941628,0.659984046,0.8172222,0.555200812,0.529650578,0.241852291,0
0.093102768,0.897215758,0.900418057,0.633101457,0.339029791,0.349209575,0.725955679,0.89711026,0.887086424,0.779875546,1
0.642031646,0.084139965,0.161628714,0.898554189,0.60642906,0.009197052,0.101471543,0.663501769,0.005061584,0.160808051,0
0.548733789,0.691895198,0.65196126,0.224269309,0.712179221,0.237249087,0.325399698,0.746491405,0.649632899,0.84922341,0
0.657612892,0.568308603,0.093674768,0.367715803,0.265202368,0.243989643,0.973010555,0.393097725,0.892046555,0.631138626,1
0.794811304,0.502637093,0.576903885,0.492517694,0.195242988,0.722452115,0.280772362,0.024315966,0.645472296,0.177110679,0
0.940458584,0.953928577,0.91486439,0.3701587,0.015456617,0.928318563,0.428184148,0.966654819,0.963619977,0.853009455,0
0.294448892,0.385097729,0.851136672,0.316922005,0.169492747,0.556801262,0.936154774,0.696029797,0.57006117,0.097176494,1
0.615007227,0.99005385,0.140084015,0.518329652,0.877373072,0.740768618,0.697015741,0.702484084,0.359491151,0.293591844,0
0.809361155,0.810113395,0.867072319,0.913240553,0.511342399,0.501516295,0.798295179,0.649963931,0.701966877,0.795792669,1
0.890005342,0.337995157,0.375582953,0.09398194,0.578280141,0.035942274,0.465598018,0.542644635,0.286541252,0.590833261,1
0.03050025,0.037348189,0.822600561,0.360190641,0.127060513,0.52224326,0.769993553,0.215821027,0.622890476,0.085347465,1
0.051681721,0.531354632,0.540635122,0.637429901,0.726091334,0.975852079,0.516300348,0.322956473,0.795186195,0.270832251,0
0.438971421,0.078456381,0.025350743,0.962648415,0.835980121,0.695974206,0.408952944,0.17329432,0.156437043,0.250242898,0
0.549226665,0.714595923,0.660197377,0.279933897,0.954865281,0.737896917,0.554354053,0.611720746,0.419600062,0.24773099,0
0.355972679,0.75784611,0.014393489,0.116072641,0.046002642,0.040728802,0.855460584,0.703657859,0.474173829,0.097834161,1
0.491615875,0.473471771,0.17320187,0.433851649,0.398504734,0.615850098,0.635093651,0.04530401,0.374612615,0.625859916,0
0.503136259,0.856489841,0.658693632,0.162934427,0.070568747,0.642419278,0.026511311,0.585775581,0.940230241,0.575474178,1
0.388169926,0.643288218,0.45825289,0.545616789,0.941464809,0.386102638,0.961190564,0.905350642,0.195791135,0.069361301,1
0.100778001,0.018221826,0.094442961,0.683006773,0.071188648,0.31897563,0.844875311,0.023271936,0.814468483,0.281854775,0
0.118164828,0.696737165,0.628942847,0.877472014,0.735071044,0.80348093,0.282034573,0.177439544,0.750614752,0.806834739,1
0.990505142,0.412617677,0.372018086,0.776412961,0.34080354,0.930757326,0.858412752,0.428994027,0.750871068,0.754542874,0
0.103123869,0.902552907,0.505252372,0.826457466,0.320049601,0.895523228,0.389201679,0.010837651,0.905381976,0.091286677,0
0.319313638,0.950061967,0.950607147,0.573437888,0.631837212,0.448445522,0.293210772,0.328664545,0.672518456,0.752374529,0
0.791579044,0.789618143,0.091206103,0.494420305,0.05755876,0.549528882,0.441530501,0.887704183,0.350915013,0.117067016,0
0.142991682,0.761510632,0.618218063,0.101122676,0.084106806,0.700969131,0.072763006,0.821860059,0.706242227,0.081348781,0
0.084837714,0.986639579,0.374270796,0.370642147,0.812799567,0.947248577,0.986001064,0.753378185,0.376259586,0.083500717,1
0.777146916,0.55840425,0.424222009,0.906354385,0.111197482,0.492625104,0.011353645,0.468660642,0.056303276,0.118817916,1
0.117526247,0.649210302,0.746044879,0.583368765,0.962172548,0.37487058,0.285712086,0.868599128,0.223595839,0.963222539,1
0.012154475,0.969878827,0.043159912,0.891143114,0.527701109,0.992964796,0.073796565,0.553854284,0.969302536,0.523097844,0
0.629398638,0.695748689,0.454541065,0.62755808,0.584314312,0.90115801,0.04544638,0.28096319,0.950411484,0.890263784,0
0.455656753,0.620132598,0.277381183,0.18812116,0.463698405,0.353352228,0.583656112,0.077734637,0.974394808,0.986210744,0
0.698161714,0.536096366,0.309527616,0.81379502,0.684731173,0.162616939,0.910927184,0.822537243,0.949799913,0.725719508,1
0.613415196,0.418243036,0.932728483,0.86606389,0.04521867,0.026366974,0.376463367,0.810553331,0.987276129,0.150416891,0
0.594130715,0.380890857,0.969914398,0.842118923,0.838328705,0.46869316,0.414819502,0.273407072,0.056375497,0.864722376,1
0.812901009,0.999717673,0.996636837,0.555431706,0.768987415,0.94476573,0.849647391,0.247348102,0.450544135,0.129159415,1
0.954051027,0.606174634,0.228642806,0.671700684,0.61812824,0.358162718,0.113557592,0.671573196,0.520307701,0.772318392,0
0.520163501,0.8521815,0.551906839,0.560937972,0.876653603,0.403482866,0.134015228,0.028782676,0.755137256,0.620309551,0
0.704079768,0.212964162,0.136371476,0.014544666,0.350587559,0.589917687,0.392244045,0.437474922,0.904158694,0.348255467,1
0.513989489,0.783653013,0.396542782,0.6220867,0.862363709,0.949520624,0.147073481,0.926587625,0.492116293,0.258244388,0
0.459135756,0.980032575,0.492618094,0.32875161,0.633400854,0.240145619,0.075863328,0.128879722,0.128045839,0.151902694,1
0.138827173,0.640874745,0.181880084,0.345667283,0.89678841,0.47396164,0.667557739,0.172319871,0.192289019,0.040868616,0
0.168935063,0.278590339,0.177010484,0.088702534,0.120635871,0.460778768,0.206333718,0.364269861,0.503417271,0.690394829,0
0.03931214,0.799410399,0.627900389,0.081759032,0.873578624,0.920872401,0.06107796,0.276877648,0.80620128,0.74825969,1
0.184521019,0.209349323,0.370472103,0.484522985,0.618254772,0.36891364,0.462534716,0.747470938,0.036683203,0.252436944,0
0.713349586,0.895206838,0.511677442,0.532113485,0.107172011,0.447412367,0.532617266,0.242470504,0.269243231,0.377284163,1
0.020071198,0.322079166,0.211448007,0.327497352,0.119762132,0.890527281,0.593592454,0.679102319,0.789171239,0.498442199,0
0.086920288,0.537106542,0.586841118,0.745439474,0.431659546,0.127580303,0.283775906,0.363082296,0.645917241,0.570778305,1
0.356096726,0.986515249,0.605774819,0.237226792,0.101782473,0.152859139,0.245957728,0.160681373,0.186567024,0.285095169,1
0.173373595,0.896765425,0.080233746,0.52451139,0.410396827,0.982378617,0.112038902,0.397855599,0.969470433,0.865507126,0
0.817072071,0.257902827,0.170887587,0.66864322,0.929375989,0.556762893,0.571612689,0.279979094,0.769492933,0.187043749,1
0.323679236,0.425436439,0.507610379,0.242409732,0.114836825,0.610620042,0.288630553,0.581238221,0.154362715,0.481140102,0
0.532589433,0.051823537,0.336604278,0.134414677,0.06337497,0.989960232,0.322353845,0.809874446,0.254640655,0.681502722,0
0.76022786,0.595638741,0.471576189,0.411840914,0.348868267,0.929529144,0.830619408,0.965026911,0.124297223,0.730867475,0
0.938340457,0.181233066,0.066496267,0.741120649,0.574473113,0.841828777,0.139772377,0.795267312,0.20162732,0.163655943,1
0.164265798,0.81457472,0.665197221,0.523065425,0.358830484,0.877200541,0.392445107,0.816599439,0.439134909,0.376944429,1
0.462679786,0.301377874,0.74760938,0.50272039,0.232212695,0.899574573,0.383891221,0.543552861,0.906472111,0.624237996,0
0.116898041,0.939832124,0.627708053,0.334905615,0.139272073,0.794025189,0.620072756,0.533461092,0.893892583,0.788597211,0
0.15167488,0.311722068,0.24848914,0.743946293,0.033532435,0.569889685,0.762458686,0.876765637,0.342081749,0.821257305,1
0.110631737,0.846452292,0.127488662,0.397287291,0.797295366,0.149917427,0.229251395,0.722252568,0.720036537,0.641147633,0
0.693948444,0.542724443,0.251799059,0.345695994,0.181597717,0.908450561,0.583391795,0.400851417,0.462005804,0.94728334,0
0.153351403,0.586229832,0.505888679,0.611454235,0.018110184,0.872123909,0.932118282,0.565133184,0.696650824,0.922499381,1
0.707238634,0.152539043,0.57628836,0.606715046,0.424130671,0.736444236,0.934367015,0.925568513,0.450839371,0.113238046,0
0.984841199,0.838898086,0.124662681,0.920841883,0.869896362,0.518838057,0.591275436,0.399002704,0.054761639,0.335197242,1
0.802853449,0.004632023,0.333499172,0.398168694,0.537395603,0.919855616,0.346345994,0.346953202,0.737501248,0.452217941,0
0.224604823,0.452439516,0.14085702,0.176386987,0.498367773,0.41892545,0.914845901,0.362393899,0.58058835,0.632264288,1
0.013094457,0.663537372,0.178035967,0.961070317,0.148662728,0.414624124,0.085349668,0.996874252,0.50219501,0.595385017,0
0.067076477,0.74996047,0.209905593,0.898054289,0.20513964,0.190687721,0.036549668,0.472066945,0.564841133,0.065708639,0
0.775527617,0.453288835,0.524390269,0.440762747,0.400763061,0.559640331,0.155240246,0.18192813,0.861785621,0.946115462,1
0.373309316,0.270744673,0.643999543,0.408734171,0.025386356,0.156152597,0.715972229,0.658923942,0.027095993,0.221972162,0
0.231074797,0.671892744,0.019710538,0.104108582,0.799916085,0.178544662,0.652746108,0.238182781,0.099441393,0.243172191,1
0.722266932,0.855696468,0.830219865,0.39718353,0.668085137,0.204984295,0.29314773,0.896335819,0.013001924,0.085508531,0
0.207886255,0.026532204,0.181435435,0.583041561,0.421424551,0.892671711,0.817443562,0.341817352,0.259423433,0.379692408,1
0.590294943,0.268063641,0.624148908,0.409411652,0.552047181,0.436126529,0.29446576,0.948453307,0.763605794,0.140113176,1
0.868467976,0.487431198,0.894552227,0.799855256,0.425213504,0.022469308,0.268677359,0.541634215,0.63347822,0.257887685,1
0.139356074,0.834930237,0.984402181,0.525690182,0.171679286,0.272307327,0.018390677,0.914298807,0.117751083,0.576516476,1
